Total Records Added 784 
#.,ID
0,524286532
1,10730374
2,10729521
3,10836131
4,1707755
5,10835762
6,10834550
7,10834355
8,10834163
9,10834022
10,524254745
11,524253397
12,10830114
13,10829864
14,524252397
15,10829632
16,1706808
17,10828844
18,10722268
19,10828481
20,10828080
21,10721604
22,10721568
23,10721442
24,1706640
25,10827542
26,10721075
27,10827168
28,524230872
29,524229662
30,524225462
31,524224656
32,10715376
33,10821226
34,10715028
35,10714901
36,524219504
37,524218906
38,524218323
39,524218271
40,524217663
41,524216295
42,524215479
43,524197357
44,524196849
45,524196222
46,524195727
47,10808858
48,10703361
49,524178611
50,524177973
51,10703054
52,10808173
53,524175157
54,524174354
55,524174328
56,524173558
57,524172709
58,524172060
59,524170413
60,10700362
61,10697924
62,10696652
63,10801423
64,10801215
65,10801078
66,524133806
67,524132138
68,524132080
69,524131380
70,524130673
71,524129823
72,524128154
73,524127436
74,524090472
75,524088853
76,524087011
77,524085857
78,10666212
79,10769396
80,10769239
81,10665770
82,10767206
83,524029698
84,10663574
85,10663490
86,524005284
87,524003990
88,523869076
89,523866737
90,523866092
91,523865041
92,523864453
93,523863718
94,523526469
95,523526098
96,523525662
97,10384970
98,10384566
99,1645803
100,10286237
101,10322681
102,10322145
103,10226806
104,10226660
105,522518536
106,522517908
107,522517101
108,522509758
109,8930569
110,8838096
111,8837753
112,1438711
113,8836857
114,8830054
115,1437470
116,8826811
117,8826632
118,8826096
119,8853568
120,517823537
121,517822711
122,8852958
123,8793940
124,8851925
125,8850695
126,8850480
127,1432022
128,8790821
129,517749295
130,517572048
131,517571373
132,517570797
133,517570243
134,8732365
135,8787276
136,8787064
137,8786742
138,8728699
139,8782586
140,8727612
141,8715217
142,8715030
143,517486784
144,8714769
145,8768684
146,8714578
147,517485364
148,8714471
149,8714312
150,8714048
151,517483130
152,517482117
153,8766767
154,8712873
155,8712640
156,8712460
157,517470015
158,8710368
159,8710279
160,8763868
161,517467649
162,517467431
163,517466044
164,517465853
165,517464602
166,517463425
167,517463121
168,517462385
169,517461143
170,517458703
171,8761495
172,517458238
173,517455855
174,8707187
175,8706631
176,8706512
177,517445501
178,517442931
179,517441056
180,8755748
181,517435232
182,517434894
183,517433885
184,517433121
185,8695841
186,1418334
187,517405254
188,8747878
189,517404515
190,8694893
191,517367444
192,517366997
193,517366471
194,517365975
195,8734537
196,8682654
197,8682541
198,8682411
199,517334747
200,517333600
201,517332889
202,517332317
203,517323089
204,517321612
205,517320766
206,517318776
207,517317968
208,517317193
209,517316388
210,8722503
211,8671142
212,8666355
213,8666216
214,8716948
215,8716796
216,517295737
217,517295225
218,517294658
219,8715680
220,8664710
221,1414016
222,8714970
223,8664173
224,8714725
225,517484362
226,1413946
227,8663551
228,1413874
229,1413853
230,8713655
231,8713495
232,517284958
233,517284238
234,517282926
235,517282132
236,517260890
237,517259678
238,517259088
239,517258524
240,517191311
241,8637787
242,8637629
243,8637488
244,8632284
245,8680469
246,8672598
247,8672420
248,8672280
249,8672129
250,517126816
251,517125982
252,517125145
253,517123083
254,8663904
255,8616875
256,8663393
257,8663186
258,517084670
259,517083995
260,517083344
261,517082446
262,517079192
263,8601993
264,8601906
265,517044849
266,1405650
267,8646917
268,517043657
269,517042569
270,517040745
271,516811088
272,516810179
273,516809220
274,516808282
275,515875351
276,8269232
277,8228275
278,8268631
279,1354761
280,8267834
281,515783488
282,515782820
283,515781319
284,515780541
285,8232316
286,8193495
287,8192482
288,8191585
289,515725327
290,8229860
291,515724102
292,515722936
293,8229247
294,515720790
295,8189757
296,8228097
297,8189460
298,8227751
299,515706166
300,515705394
301,8184350
302,8222430
303,8183961
304,8183883
305,8221941
306,8221793
307,8183398
308,515688982
309,515687976
310,515687331
311,515686747
312,8181470
313,515684660
314,515684003
315,515682806
316,515682005
317,8176572
318,8174005
319,8211509
320,515656078
321,8173365
322,515654200
323,515651016
324,1345755
325,8163572
326,8200236
327,8199856
328,8162472
329,8162182
330,515610854
331,515610019
332,515609278
333,8198484
334,515606814
335,8195731
336,8195564
337,1344985
338,8195208
339,515549284
340,515548334
341,8145544
342,515547108
343,8181077
344,8180903
345,8145067
346,515545709
347,515541854
348,515541390
349,515540953
350,515540336
351,515539137
352,8143206
353,515536263
354,8177684
355,515504198
356,515503704
357,515503298
358,515502783
359,515499571
360,515498145
361,515497332
362,515496610
363,515470159
364,515469635
365,515469110
366,515468666
367,8153863
368,8119674
369,1339534
370,8153207
371,515447670
372,8118040
373,515445640
374,8117821
375,515444605
376,8151514
377,515443942
378,8117407
379,515443285
380,8150837
381,515442135
382,8116918
383,515441653
384,8116796
385,515441168
386,515429506
387,515428826
388,515427410
389,515426753
390,8110438
391,8143624
392,8143499
393,515416645
394,515415728
395,8109740
396,515415092
397,1338103
398,515414425
399,8109009
400,8142280
401,8141931
402,8137822
