Total Records Added 1155 
#.,ID
0,535903731
1,535902348
2,535901415
3,535900502
4,535899111
5,2232226
6,535514647
7,535513972
8,535513295
9,535512169
10,535455518
11,535455117
12,535454727
13,535454324
14,535432140
15,535431276
16,14124524
17,13955230
18,14123759
19,14123433
20,14107484
21,14107362
22,2219286
23,13938760
24,535367686
25,13938255
26,535359166
27,535358761
28,535358125
29,535357578
30,14104065
31,14103749
32,535345879
33,535340217
34,535339003
35,13929527
36,14097136
37,13928950
38,14096792
39,535332391
40,535331787
41,535330934
42,535330163
43,13926949
44,535326361
45,14094683
46,13926509
47,535325517
48,13926314
49,535324818
50,535324246
51,535319453
52,535318579
53,535317780
54,535316885
55,14091295
56,535313920
57,535313156
58,535312521
59,535311564
60,535310226
61,535309731
62,535309272
63,535308708
64,13921714
65,14088757
66,14088569
67,14088333
68,14087944
69,13919012
70,13918715
71,14085786
72,13917970
73,13917810
74,13917664
75,13917525
76,14084701
77,2214067
78,13916961
79,13916956
80,14084181
81,2213995
82,13916572
83,13916304
84,14082975
85,14082575
86,13914888
87,13914707
88,14082121
89,2213497
90,13914493
91,14081692
92,14081533
93,535278681
94,535278231
95,535278228
96,535277778
97,535277653
98,535277638
99,535277002
100,14079549
101,2212861
102,535275291
103,14079141
104,535273972
105,13911345
106,13909706
107,14076705
108,14076601
109,2212220
110,13909379
111,14076411
112,2212131
113,535265286
114,13909047
115,535264703
116,535264015
117,535263333
118,535259152
119,2211701
120,535258462
121,13907197
122,535257676
123,535256861
124,535256743
125,535256025
126,535255628
127,535254342
128,535253629
129,13905022
130,14071674
131,13901168
132,14067576
133,13900869
134,13900733
135,14065256
136,14065146
137,14065074
138,2209668
139,2209648
140,13898337
141,2209051
142,13895839
143,14061945
144,14061819
145,13895630
146,13895517
147,13895320
148,13895230
149,14059480
150,14059383
151,2208397
152,2208370
153,535207754
154,535207381
155,535206947
156,535206177
157,535190954
158,535190424
159,14053818
160,13887999
161,535176156
162,535175684
163,535175232
164,535174681
165,535159735
166,535159241
