Total Records Added 1111 
#.,ID
0,515429506
1,515428826
2,515427410
3,515426753
4,8110438
5,8143624
6,8143499
7,515416645
8,515415728
9,8109740
10,515415092
11,1338103
12,515414425
13,8109009
14,8142280
15,8141931
16,8137822
17,1337406
18,8104338
19,8104192
20,8137372
21,8136946
22,8136663
23,8135818
24,515388968
25,515388326
26,8135246
27,8134951
28,8134748
29,8101402
30,8134307
31,8101186
32,8134202
33,8134110
34,8133994
35,515365815
36,515365278
37,515364824
38,515364356
39,515352725
40,515351651
41,8085806
42,515324387
43,1334768
44,8111278
45,1334083
46,8110860
47,8110734
48,515299207
49,515297289
50,515296529
51,515295276
52,515292740
53,515291695
54,515290797
55,515289959
56,8068157
57,8068036
58,1332570
59,8098680
60,8097200
61,8097004
62,8065970
63,8096594
64,1332277
65,8065604
66,8096143
67,8096009
68,515142498
69,515141592
70,515140164
71,515139097
72,515068252
73,515067065
74,515066116
75,515065216
76,1326154
77,514907050
78,514764682
79,514763719
80,514762958
81,514761924
82,514314772
83,514313884
84,514312652
85,7694102
86,7679492
87,513826782
88,513826156
89,513825258
90,513824534
91,513823686
92,513822651
93,513809718
94,513808383
95,513807615
96,513806726
97,7649575
98,7662060
99,7652427
100,7652024
101,7639530
102,7651304
103,7651055
104,1272431
105,7650038
106,513736946
107,513735824
108,513730943
109,513730235
110,513729483
111,513728638
112,513718777
113,513718172
114,513717609
115,513717033
116,7637936
117,7626449
118,7637694
119,7636400
120,7636162
121,7635982
122,7633552
123,7633426
124,7622002
125,7621844
126,7621169
127,7620838
128,513675156
129,7630934
130,513674632
131,7619964
132,7630797
133,513674112
134,513673533
135,7630563
136,513669976
137,7629440
138,513669234
139,513668609
140,7618432
141,7618247
142,513667789
143,7617957
144,7617330
145,7627889
146,7627685
147,7616813
148,7615792
149,7626277
150,513649525
151,513647893
152,513646467
153,513645515
154,1268860
155,7622251
156,513641754
157,513641256
158,513640780
159,513640294
160,7620340
161,7620039
162,7619425
163,513632961
164,513632517
165,513632053
166,513631531
167,7608171
168,7605499
169,7615517
170,7615397
171,7605145
172,7603734
173,7603648
174,1267692
175,7613660
176,7603478
177,7603451
178,7613497
179,7603340
180,7603170
181,513609409
182,7612798
183,7612593
184,7601557
185,7601371
186,1267385
187,7601108
188,7601016
189,7600920
190,7600815
191,1267300
192,7600475
193,7606710
194,513581468
195,513580745
196,7595230
197,513580031
198,7594998
199,7604034
200,513578377
201,7594541
202,513569580
